name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Shigella flexneri	623	S	11	773	784	0.01575
Shigella dysenteriae	622	S	15	172	187	0.00377
Shigella boydii	621	S	22	749	771	0.01550
Escherichia marmotae	1499973	S	7	2	9	0.00018
Citrobacter rodentium	67825	S	1	2	3	0.00007
Shigella sonnei	624	S	8	148	156	0.00314
Klebsiella pneumoniae	573	S	3	26	29	0.00059
Proteus sp. ZN5	2697019	S	1	1	2	0.00004
Raoultella terrigena	577	S	1	4	5	0.00010
Leclercia sp. J807	2681307	S	1	0	1	0.00003
Enterobacter sp. E76	2596949	S	1	0	1	0.00002
Citrobacter sp. SNU WT2	2562449	S	1	0	1	0.00003
Dickeya paradisiaca	69223	S	2	0	2	0.00004
Salmonella sp. S13	2686305	S	2	167	169	0.00341
Citrobacter werkmanii	67827	S	2	4	6	0.00012
Barnesiella viscericola	397865	S	1	0	1	0.00002
Enterobacter hormaechei	158836	S	2	10	12	0.00025
Citrobacter freundii	546	S	2	15	17	0.00035
Lelliottia amnigena	61646	S	1	0	1	0.00002
Pluralibacter gergoviae	61647	S	1	0	1	0.00002
Klebsiella aerogenes	548	S	1	0	1	0.00003
Enterobacter asburiae	61645	S	2	4	6	0.00014
Escherichia albertii	208962	S	23	7	30	0.00060
Bacteroides fragilis	817	S	27130	1701	28831	0.57903
Nitrincola sp. KXZD1103	2614693	S	1	0	1	0.00002
Lelliottia jeotgali	1907578	S	1	0	1	0.00002
Escherichia coli	562	S	1075	17455	18530	0.37215
Escherichia fergusonii	564	S	16	20	36	0.00074
Kosakonia sacchari	1158459	S	1	1	2	0.00004
Bacteroides salanitronis	376805	S	2	0	2	0.00004
Muribaculum sp. TLL-A4	2530390	S	1	0	1	0.00002
Buttiauxella sp. 3AFRM03	2479367	S	1	0	1	0.00002
Pseudescherichia vulneris	566	S	1	0	1	0.00002
Bacillus cereus	1396	S	1	0	1	0.00002
Salmonella enterica	28901	S	10	134	144	0.00291
Escherichia sp. E4742	2044467	S	11	4	15	0.00031
Cronobacter sakazakii	28141	S	1	1	2	0.00004
Pasteurella multocida	747	S	1	0	1	0.00002
Leclercia adecarboxylata	83655	S	2	1	3	0.00007
Kosakonia arachidis	551989	S	1	1	2	0.00005
Enterobacteriaceae bacterium strain FGI 57	693444	S	5	0	5	0.00011
Serratia fonticola	47917	S	1	0	1	0.00002
Klebsiella variicola	244366	S	1	2	3	0.00008
Bacteroides vulgatus	821	S	1	0	1	0.00002
